;2009;2009;2009;2009;2010;2010;2010;2010
;RSA : ensemble;RSA : socle seul;RSA : activité seule;RSA : socle + activité;RSA : ensemble;RSA : socle seul;RSA : activité seule;RSA : socle + activité
;Nombre de foyers couverts;Nombre de foyers couverts;Nombre de foyers couverts;Nombre de foyers couverts;Nombre de foyers couverts;Nombre de foyers couverts;Nombre de foyers couverts;Nombre de foyers couverts
D76 Seine-Maritime;40124;26067;9717;4340;42948;27028;11050;4870
D77 Seine-et-Marne;25385;16991;5844;2550;27830;18348;6622;2860
D78 Yvelines;21483;14887;4707;1889;23388;15703;5496;2189
D79 Deux-Sèvres;6496;3789;1998;709;7263;4107;2301;855
D80 Somme;18754;11616;5378;1760;19775;12215;5587;1973
D81 Tarn;9692;6445;2160;1087;10503;6692;2590;1221
D82 Tarn-et-Garonne;6816;4164;1786;866;7258;4472;1877;909
D83 Var;28850;18533;6929;3388;30609;19371;7695;3543
D84 Vaucluse;17108;10965;3895;2248;18299;11553;4335;2411
D85 Vendée;9409;5394;2966;1049;9784;5320;3292;1172
D86 Vienne;12214;7816;3050;1348;13045;8288;3269;1488
D87 Haute-Vienne;9771;6121;2541;1109;10614;6550;2818;1246
D88 Vosges;10209;6434;2722;1053;10882;6797;3004;1081
D89 Yonne;8636;5627;2132;877;9417;5877;2488;1052
D90 Territoire de Belfort;4494;3208;938;348;4730;3181;1146;403
D91 Essonne;23157;15489;5243;2425;24567;16373;5568;2626
D92 Hauts-de-Seine;35613;23871;8480;3262;35602;23735;8341;3526
D93 Seine-Saint-Denis;74599;54621;13977;6001;78131;57445;14426;6260
D94 Val-de-Marne;38894;29052;6505;3337;40997;29835;7404;3758
D95 Val-d'Oise;28206;19998;5651;2557;31262;21468;6628;3166
D9A Guadeloupe; ; ; ; ; ; ; ; 
D9B Martinique; ; ; ; ; ; ; ; 
D9C Guyane; ; ; ; ; ; ; ; 
D9D Réunion; ; ; ; ; ; ; ; 
D9F Mayotte; ; ; ; ; ; ; ; 
;;;;;;;;
Eco-Santé Régions & Départements 2013 - Mise à jour : décembre 2013;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA;;;;;;;
